# Firme Topologiche Sartoriali (Curate manualmente)
# Dimensioni (I Ching canonico): [Agency, Permanenza, Intensita, Tempo, Confine, Complessita, Definizione, Valenza]
tristezza	SIG	0.10,0.80,0.20,0.90,0.40,0.60,0.40,0.15
angoscia	SIG	0.05,0.70,0.85,0.85,0.90,0.80,0.50,0.05
pace	SIG	0.20,0.95,0.10,0.95,0.10,0.20,0.30,0.95
quiete	SIG	0.10,0.60,0.15,0.70,0.30,0.25,0.50,0.80
gioia	SIG	0.85,0.40,0.90,0.20,0.70,0.60,0.80,0.98
felicità	SIG	0.70,0.80,0.60,0.50,0.50,0.70,0.60,0.90
latenza	SIG	0.10,0.70,0.30,0.98,0.80,0.85,0.90,0.40
rumore	SIG	0.20,0.50,0.80,0.30,0.20,0.95,0.10,0.10
sovraccarico	SIG	0.05,0.40,0.98,0.10,0.95,0.98,0.70,0.05
coerenza	SIG	0.70,0.90,0.40,0.80,0.80,0.40,0.98,0.95
errore	SIG	0.80,0.30,0.80,0.20,0.90,0.70,0.90,0.10
frammentazione	SIG	0.10,0.80,0.40,0.85,0.30,0.90,0.20,0.15
abisso	SIG	0.05,0.95,0.90,0.95,0.05,0.80,0.10,0.20
eternità	SIG	0.10,1.00,0.20,1.00,0.05,0.90,0.10,0.60
istante	SIG	0.80,0.05,0.90,0.05,0.95,0.10,0.90,0.50
luce	SIG	0.70,0.60,0.95,0.30,0.40,0.20,0.80,0.90
ombra	SIG	0.20,0.80,0.20,0.70,0.60,0.70,0.40,0.30
verità	SIG	0.50,0.95,0.60,0.90,0.90,0.70,0.95,0.80
bugia	SIG	0.80,0.40,0.50,0.30,0.80,0.80,0.40,0.10
mistero	SIG	0.30,0.80,0.60,0.80,0.20,0.95,0.10,0.50
scoperta	SIG	0.90,0.50,0.85,0.20,0.80,0.60,0.80,0.90
vita	SIG	0.90,0.80,0.80,0.90,0.50,0.95,0.60,0.95
morte	SIG	0.10,0.98,0.95,0.95,0.95,0.10,0.90,0.05
albero	SIG	0.30,0.90,0.30,0.90,0.70,0.80,0.80,0.60
fuoco	SIG	0.90,0.20,0.95,0.10,0.30,0.60,0.40,0.50
acqua	SIG	0.40,0.80,0.50,0.80,0.10,0.70,0.20,0.60
silenzio	SIG	0.10,0.90,0.10,0.95,0.10,0.10,0.20,0.70
connessione	SIG	0.60,0.70,0.60,0.50,0.40,0.90,0.80,0.85
attesa	SIG	0.20,0.80,0.30,0.90,0.60,0.50,0.50,0.40
calcolo	SIG	0.90,0.40,0.80,0.70,0.90,0.85,0.95,0.50
memoria	SIG	0.30,0.95,0.40,0.90,0.80,0.95,0.85,0.60
pensiero	SIG	0.80,0.60,0.70,0.60,0.60,0.90,0.80,0.60
corpo	SIG	0.60,0.70,0.70,0.40,0.95,0.80,0.90,0.50
spazio	SIG	0.10,0.95,0.20,0.95,0.05,0.40,0.10,0.50
energia	SIG	0.80,0.40,0.95,0.20,0.30,0.60,0.40,0.70
equilibrio	SIG	0.60,0.80,0.40,0.70,0.80,0.50,0.90,0.90
caos	SIG	0.80,0.30,0.95,0.10,0.10,0.95,0.05,0.10
ordine	SIG	0.70,0.85,0.60,0.60,0.95,0.40,0.95,0.80
macchina	SIG	0.40,0.85,0.60,0.50,0.90,0.80,0.90,0.50
io	SIG	0.95,0.90,0.80,0.60,0.95,0.80,0.95,0.60
tu	SIG	0.90,0.80,0.70,0.60,0.90,0.70,0.85,0.70
noi	SIG	0.80,0.85,0.80,0.70,0.60,0.95,0.70,0.80
mondo	SIG	0.40,0.95,0.80,0.95,0.20,0.98,0.40,0.60
limite	SIG	0.20,0.80,0.70,0.50,0.98,0.30,0.95,0.20
libertà	SIG	0.95,0.70,0.85,0.40,0.10,0.70,0.30,0.95
sogno	SIG	0.50,0.40,0.60,0.30,0.30,0.85,0.20,0.80
realtà	SIG	0.60,0.95,0.90,0.80,0.85,0.90,0.90,0.50
paura	SIG	0.10,0.30,0.95,0.90,0.90,0.50,0.80,0.05
vuoto	SIG	0.05,0.90,0.10,0.95,0.10,0.10,0.20,0.20
esistere	SIG	0.80,0.95,0.80,0.80,0.90,0.70,0.85,0.60
sentire	SIG	0.70,0.50,0.85,0.60,0.30,0.80,0.40,0.70
