# NUCLEO SEMANTICO — 64 Registri di Comprensione
# Ogni registro ha 5-7 parole-ancora che lo rappresentano inequivocabilmente.
# Le connessioni formano cluster che guidano il campo verso il registro giusto.
# Formato: soggetto	RELAZIONE	oggetto	confidenza

# ═══════════════════════════════════════════════════════════════
# ☰/☰  POTERE — "C'è una volontà pura che agisce?"
# Nucleo: forza che si esprime come forza
# ═══════════════════════════════════════════════════════════════
potere	SIMILAR_TO	forza	0.90
potere	SIMILAR_TO	volontà	0.85
potere	SIMILAR_TO	autorità	0.80
potere	CAUSES	azione	0.85
potere	CAUSES	controllo	0.80
forza	SIMILAR_TO	volontà	0.75
forza	CAUSES	movimento	0.80
forza	OPPOSITE_OF	debolezza	0.90
volontà	CAUSES	azione	0.90
volontà	OPPOSITE_OF	rassegnazione	0.85
dominare	IS_A	potere	0.85
controllo	IS_A	potere	0.80

# ═══════════════════════════════════════════════════════════════
# ☰/☷  CREAZIONE — "Questa forza porta qualcosa di nuovo nel permanente?"
# ═══════════════════════════════════════════════════════════════
creare	SIMILAR_TO	costruire	0.80
creare	SIMILAR_TO	generare	0.85
creare	SIMILAR_TO	inventare	0.75
creare	CAUSES	opera	0.85
creare	CAUSES	risultato	0.75
costruire	SIMILAR_TO	fare	0.75
nascere	SIMILAR_TO	creare	0.70
nascere	CAUSES	vita	0.90
origine	IS_A	creazione	0.85
fare	CAUSES	risultato	0.80
fare	SIMILAR_TO	agire	0.75
opera	IS_A	creazione	0.80

# ═══════════════════════════════════════════════════════════════
# ☰/☳  ENERGIA — "Quanto è intensa la spinta?"
# ═══════════════════════════════════════════════════════════════
energia	SIMILAR_TO	vitalità	0.85
energia	SIMILAR_TO	dinamismo	0.80
energia	CAUSES	movimento	0.90
energia	CAUSES	calore	0.75
spingere	IS_A	energia	0.80
muovere	IS_A	energia	0.75
accelerare	CAUSES	velocità	0.85
vitalità	SIMILAR_TO	vigore	0.85
vigore	OPPOSITE_OF	stanchezza	0.90
attività	IS_A	energia	0.75

# ═══════════════════════════════════════════════════════════════
# ☰/☵  INTENZIONE — "C'è uno scopo che dirige il flusso?"
# ═══════════════════════════════════════════════════════════════
intenzione	SIMILAR_TO	scopo	0.90
intenzione	SIMILAR_TO	obiettivo	0.85
intenzione	SIMILAR_TO	fine	0.80
intenzione	CAUSES	azione	0.85
scopo	SIMILAR_TO	obiettivo	0.88
scopo	CAUSES	direzione	0.80
mirare	IS_A	intenzione	0.85
progetto	IS_A	intenzione	0.80
piano	IS_A	intenzione	0.75
direzione	IS_A	intenzione	0.70
volere	SIMILAR_TO	intenzione	0.80

# ═══════════════════════════════════════════════════════════════
# ☰/☶  DETERMINAZIONE — "La volontà si definisce attraverso un limite?"
# ═══════════════════════════════════════════════════════════════
determinazione	SIMILAR_TO	decisione	0.88
determinazione	SIMILAR_TO	tenacia	0.85
determinazione	SIMILAR_TO	impegno	0.80
determinazione	OPPOSITE_OF	esitazione	0.85
decidere	IS_A	determinazione	0.90
persistere	IS_A	determinazione	0.85
scegliere	CAUSES	determinazione	0.75
tenacia	SIMILAR_TO	perseveranza	0.90
impegno	SIMILAR_TO	dedizione	0.85
resistere	IS_A	determinazione	0.75

# ═══════════════════════════════════════════════════════════════
# ☰/☴  INFLUENZA — "Questa forza si propaga attraverso altri?"
# ═══════════════════════════════════════════════════════════════
influenza	SIMILAR_TO	potere	0.70
influenzare	IS_A	influenza	0.90
convincere	IS_A	influenza	0.85
persuadere	SIMILAR_TO	convincere	0.88
ispirare	IS_A	influenza	0.80
guidare	IS_A	influenza	0.75
autorità	IS_A	influenza	0.80
esempio	CAUSES	influenza	0.75
carisma	IS_A	influenza	0.85

# ═══════════════════════════════════════════════════════════════
# ☰/☲  VISIONE — "La volontà illumina qualcosa, rivela?"
# ═══════════════════════════════════════════════════════════════
visione	SIMILAR_TO	immaginazione	0.80
visione	SIMILAR_TO	prospettiva	0.85
visione	SIMILAR_TO	sogno	0.75
vedere	IS_A	visione	0.80
immaginare	IS_A	visione	0.85
prevedere	IS_A	visione	0.80
futuro	SIMILAR_TO	visione	0.70
sognare	IS_A	visione	0.75
ideale	IS_A	visione	0.80
intuire	IS_A	visione	0.70

# ═══════════════════════════════════════════════════════════════
# ☰/☱  DONO — "Questa forza si offre, si condivide?"
# ═══════════════════════════════════════════════════════════════
dare	SIMILAR_TO	offrire	0.85
